-1.12572	-0.539878	0	-1.13478	-4.27524	0	0.0	0.0	1.0	400.	400.	400.

0.094261	335.699	1.99683	-199.281	-502.429	477.62

-0.041974	-1.04008	0	4.19235	3.82097	0	1.07951	6.54245	1.60475	-482.609	192.729	510.531

0	-1.0	0 -4.2 -4.2 0 0	0	1.5	516.	0	516.

-0.682617	-1.30794	0	3.13339	-0.149017	-0.00919776	119.124	1.57344	490.531	168.994	511.806

-0.679793	-1.30807	0	3.14093	-0.134527	0	0	0	1.5	516.	0	516.

-0.679479	-1.30808	0	-3.14177	0.132915	0	0.173275	118.548	1.10291	515.85	12.9871	515.98

-0.289804	-1.21343	0	-3.94287	-2.01648	0	1.13616	46.3608	1.33304	318.724	428.343	488.406

0	-1.0	0 6.28319 0 0 0	0	1.5	516.	0	516.

-0.945243 0.169882 -3.39133e-06 -2.04645 -3.27166 0.000114363 0	0.5	0.5	0	0	0.0000416
1.0	0	0	0	6.28318530718 0	0	0	0	0	0	0


1.0	1.0e-4 	0	-2.04645 -3.27166 0.000114363 0	0.5	0.5	0	0	0.0000416

