v     0.168735     0.383565     0.446136
v     0.097738     0.454562     0.446136
v     0.015414     0.428711     0.456791
v    -0.104340     0.385310     0.472860
v    -0.108368     0.383435     0.473442
v    -0.118849     0.377624     0.475046
v    -0.121633     0.374578     0.475620
v    -0.121633     0.372987     0.475777
v     0.170137     0.372987     0.447040
v    -0.129599     0.373522     0.474940
v    -0.177333     0.325788     0.474940
v    -0.191056     0.303564     0.475777
v    -0.437092    -0.046584     0.465523
v    -0.441380    -0.051746     0.464592
v    -0.452293    -0.071430     0.461579
v    -0.466168    -0.101235     0.457276
v    -0.465464    -0.108096     0.456670
v    -0.464995    -0.111139     0.456417
v    -0.464704    -0.112345     0.456326
v    -0.448410    -0.147457     0.454473
v    -0.437092    -0.158774     0.454473
v     0.231958     0.311722     0.434917
v     0.215512     0.331516     0.438487
v    -0.431747    -0.036871     0.465953
v    -0.436013    -0.044519     0.465620
v    -0.428744    -0.192066     0.450372
v    -0.401797    -0.249040     0.442106
v    -0.381263    -0.289583     0.436091
v    -0.363721    -0.308777     0.432473
v    -0.281118    -0.297825     0.425416
v     0.267887     0.251179     0.425416
v     0.248116     0.286843     0.430875
v     0.190478     0.385787     0.439261
v     0.174606     0.404607     0.441711
v     0.201232     0.365992     0.438487
v     0.144530     0.457014     0.438040
v     0.139399     0.462145     0.438040
v     0.126632     0.462851     0.440023
v     0.126049     0.462818     0.440124
v     0.100580     0.455711     0.445480
v     0.118613     0.463383     0.440887
v    -0.122363     0.377357     0.474686
v    -0.130718     0.373896     0.474686
v    -0.130740     0.373841     0.474700
v    -0.175367     0.329214     0.474700
v    -0.433905    -0.039430     0.465620
v    -0.430901    -0.188308     0.450635
v    -0.373052    -0.310576     0.430754
v    -0.363721    -0.333600     0.424943
v    -0.363015    -0.336807     0.423881
v    -0.353229    -0.369762     0.412655
v    -0.350704    -0.377384     0.410025
v    -0.336085    -0.411819     0.397743
v    -0.281810    -0.502729     0.363346
v    -0.248347    -0.541651     0.347334
v     0.049131    -0.519039     0.316815
v     0.235298    -0.441926     0.316815
v     0.498894    -0.427337     0.275874
v     0.515389    -0.410842     0.275874
v     0.386600     0.050701     0.372935
v     0.341748     0.140533     0.395079
v     0.282685     0.233377     0.420056
v     0.406282     0.015455     0.362536
v     0.531809    -0.404188     0.271729
v     0.552303    -0.354710     0.271729
v     0.553061    -0.344736     0.272753
v     0.523935    -0.261084     0.292099
v     0.280474     0.241630     0.420056
v     0.143656     0.460876     0.436771
v     0.139902     0.464630     0.436771
v     0.139473     0.464309     0.437090
v     0.131925     0.464727     0.438262
v     0.123000     0.466112     0.438800
v     0.128083     0.465756     0.438262
v    -0.126102     0.378683     0.473442
v    -0.130614     0.378433     0.472741
v    -0.130841     0.377513     0.473098
v    -0.174263     0.334091     0.473098
v    -0.442697    -0.048031     0.463356
v    -0.446648    -0.050364     0.461579
v    -0.467150    -0.101803     0.456670
v    -0.464953    -0.111905     0.456298
v    -0.345808    -0.397226     0.402316
v    -0.270544    -0.524897     0.353110
v    -0.253955    -0.552990     0.340470
v    -0.248347    -0.554493     0.340470
v    -0.211490    -0.618206     0.301136
v    -0.178586    -0.653444     0.277588
v    -0.088842    -0.647165     0.268091
v     0.195596    -0.570950     0.268091
v     0.364493    -0.561595     0.241862
v     0.372643    -0.556981     0.242398
v     0.402094    -0.531975     0.247941
v     0.452770    -0.486625     0.258483
v     0.499294    -0.439063     0.270728
v     0.504252    -0.437941     0.269100
v     0.537800    -0.404392     0.269100
v     0.542068    -0.403339     0.267441
v     0.554008    -0.391660     0.264367
v     0.558194    -0.386983     0.263394
v     0.558943    -0.373446     0.265497
v     0.559464    -0.371503     0.265497
v     0.560306    -0.359474     0.266770
v     0.350686     0.165287     0.383703
v     0.381319     0.140952     0.362536
v     0.187008     0.401055     0.434258
v     0.144037     0.465367     0.434258
v     0.143132     0.469104     0.432797
v     0.142890     0.469083     0.432933
v     0.145799     0.483942     0.420446
v     0.142807     0.471073     0.431495
v     0.148258     0.485702     0.417917
v     0.142520     0.484594     0.420446
v     0.125649     0.469486     0.435598
v    -0.139305     0.397936     0.456791
v    -0.142945     0.397678     0.456266
v    -0.142979     0.396863     0.456855
v    -0.179857     0.399994     0.436216
v    -0.238427     0.466040     0.358048
v    -0.235087     0.455224     0.367745
v    -0.557379    -0.027121     0.367745
